,Name,Country,Address,Sector,Owner_operator,Solar thermal engineering company,Integrator company,Year,Collector technology,Collector name,Gross area,Total aperture area,Thermal power,heat transfer fluid,Energy storage,Storage volume,Conventional heat source,Fuel used,Use,Unit operation,Point of integration,Temperature range process,Temperature range solar loop (min/max),Total investment costs,Subsidy,System life time,Specific investment costs,Solar fraction,Contact,E-mail,Homepage,Sector grouped
189,Mandrekas S.A. (2),Greece,Korinthos,C10 - Manufacture of food products,Mandrekas S.A.,this sa,this sa,1993-01-01,flat plate collector,,170.0,,119.0,,,2.0,,,"hot water for yoghurt production (maturation), and shw",other process heating,,15 - 66,23 - 65,26010.0,no subsidies,0,153.0,,,,,C10 - Manufacture of food products
190,MAPAG,Austria,Gumpoldskirchen,C20 - Manufacture of chemicals and chemical products,MAPAG,solution solartechnik,solution solartechnik,2001-01-01,flat plate collector,,42.0,,29.4,,,2.5,,,cleaning of samples for analytical lab,cleaning,C) Other integration points (please specify),60,60,19992.0,58905,0,476.0,,,IEA - Task 49,office@sol-ution.com,C20 - Manufacture of chemicals and chemical products
191,Marinela CDMX,México,"Av San Pablo Xalpa 2, Santa Barbara, Ciudad de México, CDMX",C10 - Manufacture of food products,Marinela SA DE CV,modulo solar,modulo solar,2008-01-01,flat plate collector,HIPER TINOX,164.0,145.0,114.0,Water,Short-term water storage,9.0,Steam boiler,Natural gas,preheat of hot water,general process heating,A1) Heating of make-up water,60-70,55-75,39500.0,No Subsidies,25,240.85,70,,,,C10 - Manufacture of food products
192,Masdar City Solar Field,United Arab Emirates,Masdar City - Abu Dhabi,"M - Professional, scientific and technical activities",TVP Solar,tvp solar,tvp solar,2012-01-01,various collector,MT Power v3.11,44.0,42.0,21.0,Water,Short-term water storage,16.0,Other,Other,double effect absorption chiller,Cooling processes,B3) Heating of process heat storage,180°C/165°C,165°C/180°C,92000.0,0,20,2090.91,,TVP Solar,scarpellino@tvpsolar.com,www.tvpsolar.com,"M - Professional, scientific and technical activities"
193,Masdar Demonstration Projet,United Arab Emirates,"Airport Road, Masdar, Abu Dhabi","M - Professional, scientific and technical activities",Abu Dhabi Futur Energy Company (MASDAR),industrial solar gmbh (formerly pse ag),nan,2009-01-01,fresnel collector,LF-11,185.0,132.0,74.0,water,short-term water storage,,,,refrigeration,Cooling Processes,A3) Heating of supply heat storage,,,1.0,,,0.01,,Industrial Solar GmbH,info@industrial-solar.de,http://www.industrial-solar.de,"M - Professional, scientific and technical activities"
194,Matatlan Dairy,México,"Matatlán, Zapotlanejo, Jalisco.",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2013-01-01,parabolic trough collector,Power Trough 110,66.0,,46.2,Water,Short-term water storage,2.5,Steam boiler,Other,the solar thermal system was installed before the conventional heat source it was necessary to open the circuit between the makeup water and the conventional heat source (steam boiler) once the circuit was opened thermal energy storage was installed,general process heating,B3) Heating of process heat storage,,"18,5 to 80-100 °C",23039.0,Venture Capital Trust (FIRCO as its acronym in Spanish Lan-guage),>25,349.08,20,,,,C10 - Manufacture of food products
195,Meihao Food Processing,China,"Zhucheng, Shandong, China",C10 - Manufacture of food products,,himin solar co ltd,nan,2010-01-01,evacuated tube collector,,395.0,237.0,276.5,,,,,,sterilization by hot water of 80 °c,sterilization,C) Other integration points (please specify),80,,0.01,no information available,,0.0,,,Wolfgang Glatzl with Daniel Hui,w.glatzl@aee.at,C10 - Manufacture of food products
196,Meiser Textil,Germany,"Stadionstraße 75, 72461 Albstadt, Deutschland",C13 - Manufacture of textiles,Meiser Carl GmbH & Co KG,smirro gmbh,nan,,parabolic trough collector,,100.0,,50.0,,,0.01,,,nan,other process heating,C) Other integration points (please specify),max 140 °C,,0.01,no information available,,0.0,,,Wolfgang Glatzl,w.glatzl@aee.at,C13 - Manufacture of textiles
197,Metadero Montesierra,Spain,Jerez de la Frontera,C10 - Manufacture of food products,Metadero Montesierra,solaringenieria 2000 sa (solaring),solaringenieria 2000 sa (solaring),2004-01-01,flat plate collector,,79.0,,55.3,,,5.0,,,preheating the boiler feed water to be used in cleaning and sterilization,General process heating,C) Other integration points,50 - 60,,1.0,No subsidies,0,0.01,,SOLARING,gerencia@solaring.es,,C10 - Manufacture of food products
198,Metbrauerei Neuwirth,Austria,Brodersdorf,C11 - Manufacture of beverages,Metbrauerei Neuwirth,aee intec,aee intec,2006-01-01,flat plate collector,,20.0,,14.0,,,0.85,,,"bottle washing, pasteurization, sterilization",cleaning,C) Other integration points (please specify),50 - 95,50 - 95,1.0,no subsidies,0,0.05,,,Wolfgang Glatzl,w.glatzl@aee.at,C11 - Manufacture of beverages
199,Mevgal S.A.,Greece,Athens,C10 - Manufacture of food products,Mevgal S.A.,intersolar sa,intersolar sa,2000-01-01,various collector,,1.0,,0.7,water/glycol,short-term water storage,10.0,,,"hot water for cleaning equipment, and prheating of boiler feed water",cleaning,different integration points (see remarks),216 + 108: A3) heating of supply storage for make-up water,20 - 90,180296.0,20 % - subsidy through the Operational Programme for Energy for the promotion of energy efficiency,0,180296.0,,,Miriam Martinez,miriam@sole.gr,C10 - Manufacture of food products
200,Mexlub,México,"Centeno 193, Valle del Sur, 09819 Ciudad de México, CDMX",C20 - Manufacture of chemicals and chemical products,Mexlub SA de CV,modulo solar,modulo solar,2015-01-01,flat plate collector,MS 2.5 BLUE,50.0,45.0,35.0,Water,Short-term water storage,3.0,Hot water boiler,Fuel oil,preheat of hot water,general process heating,A1) Heating of make-up water,60-75,55-80,13000.0,No Subsidies,,260.0,70,,,,C20 - Manufacture of chemicals and chemical products
201,Milma dairy,India,"Kannur, Pallakad, Kerala",C10.5 - Manufacture of dairy products,Milma dairy,nan,nan,2003-01-01,flat plate collector,,1440.0,,1008.0,,Short-term water storage,60.0,Steam boiler,Fuel oil,pasteurization of milk,Pasteurization,C) Other integration points,,,1.0,not known,0,0.0,,AEE INTEC,w.glatzl@aee.at,http://www.solarwaterheater.gov.in/phpdsurl5/speakers/userfiles/file/Solar%20water%20heater%20applications.pdf,C10 - Manufacture of food products
202,Milwaukee Brewing Co.,United States,"Milwaukee, Wisconsin",C11 - Manufacture of beverages,,caleffi,nan,2013-01-01,flat plate collector,,104.0,,72.8,,Short-term water storage,4.0,,,hot water consumption,Other process heating,Different integration points (see remarks),,,125172.0,88832,30,1203.58,,SEIA,kstainken@seia.org,,C11 - Manufacture of beverages
203,Minera Constanza,Chile,Chile,B - Mining and quarrying,,nan,nan,2012-01-01,flat plate collector,,440.0,,308.0,,,,,,electro winning process,extraction,C) Other integration points (please specify),,,1.0,not known,,0.0,,,Wolfgang Glatzl,w.glatzl@aee.at,B - Mining and quarrying
204,Minera el Rob Peñoles,México,"VELARDEÑA,DURANGO",B - Mining and quarrying,Industrias Peñoles SAB de CV,modulo solar,modulo solar,2012-01-01,flat plate collector,MS 2.5 BLUE,330.0,297.0,231.0,Water/Glycol,Short-term water storage,15.0,Hot water boiler,Natural gas,preheat of hot water,general process heating,A1) Heating of make-up water,60-80,55-85,80850.0,No Subsidies,25,245.0,65,,,,B - Mining and quarrying
205,Miraah Oman,Oman,"Oman, Amal",B - Mining and quarrying,Petroleum Development Oman,glasspoint,glass point,2017-01-01,parabolic trough collector,Enclosed Trough Once-Through Steam Generator system ,210000.0,,100000.0,steam,no solar energy storage,,steam boiler,natural gas,enhanced oil recovery,other process heating,B1) Heating of process(es) / process vessel(s),,,1.0,1,,0.0,,AEE INTEC,w.glatzl@aee.at,,B - Mining and quarrying
206,Moguntia Spice Making,Austria,"Perlmooserstraße 19, 6322 Kirchbichl",C10.8 - Manufacture of other food products,Moguntia-Werke Gewürzindustrie GmbH,tisun,nan,2008-01-01,flat plate collector,TiSUN Large Collector FA,220.0,,154.0,,short-term water storage,20.0,,,hot water for cleaning and production processes,cleaning,B1) Heating of process(es) / process vessel(s),,,1.0,no subsidies,0,0.0,45-50 % of hot water,,Wolfgang Glatzl,w.glatzl@aee.at,C10 - Manufacture of food products
207,Montesano - Canary Islands,Spain,La Esperanza,C10 - Manufacture of food products,Montesano,nan,nan,2008-01-01,flat plate collector,,290.0,,203.0,,,23.0,,,hot water used to wash meat deivatives,Cleaning,C) Other integration points,40 - 60,,200100.0,No subsidies,0,690.0,,OEC - Ökoenergie Cluster,oec@esv.or.at,,C10 - Manufacture of food products
208,Montesano - Jerez de los Caballero,Spain,Jerez de los Caballero,C10.1 - Processing and preserving of meat and production of meat products,Montesano,nan,nan,2011-01-01,flat plate collector,,252.0,,176.4,,Short-term water storage,30.0,Hot water boiler,Fuel oil,"raw product reception washing, first and second product treatments, washing of final products and cleaning of vessels and machinery",Cleaning,C) Other integration points,40-45 °C,,131250.0,43750,,520.83,,IEA Task 49 - derived from SO-PRO project,w.glatzl@aee.at,http://www.esv.or.at/fileadmin/redakteure/So-Pro/Installations/WP5_second_status_reports_pilot_projects_fin_exkl.pdf,C10 - Manufacture of food products
209,Mother Dairy,India,Delhi,C10.5 - Manufacture of dairy products,Mother Dairy,megawatt solutions,megawatt solutions,2016-01-01,various collector,,1520.0,1520.0,1064.0,,,,,,cleaning in place of dairy,Cleaning,B2) Heating of process medium,70-90,,278586.0,176814,,183.28,,CSH India,contact@cshindia.in,http://www.cshindia.in,C10 - Manufacture of food products
210,Mr. Wash Mannheim,Germany,"Mannheim, Germany",H - Transporting and storage,Mr. Wash,ritter xl solar,janssen,2014-01-01,evacuated tube collector,,197.0,,137.9,water,other,0.0,,,car washing,cleaning,different integration points (see remarks),,,1.0,not known,,0.01,,,Martin Willige,m.willige@ritter-xl-solar.com,H - Transporting and storage
211,Nairobi tannery,Kenya,Nairobi,C15 - Manufacture of leather and related products,Nairobi tannery,aschoff solar,aschoff solar,2013-01-01,evacuated tube collector,,580.0,,406.0,water,short-term water storage,,,,solar heat for retanningprocess,retanning,C) Other integration points (please specify),,,1.0,no subsidies,0,0.0,,,,,C15 - Manufacture of leather and related products
212,Nestle Chiapas,México,"Carretera Panamericana Km. 1103, Benito Juárez, 29160 Chiapa de Corzo, Chis",C10 - Manufacture of food products,Nestle,modulo solar,modulo solar,2010-01-01,flat plate collector,HIPER TINOX,650.0,620.0,455.0,Water,Short-term water storage,25.0,Steam boiler,Natural gas,preheat of steam production,general process heating,A3) Heating of supply heat storage,90,65/85,160000.0,No Subsidies,20,246.15,60,,,,C10 - Manufacture of food products
213,Nestle Dairy Plant Chapa de Corzo,México,"Chiapa de Corzo, México",C10.5 - Manufacture of dairy products,Nestle de Mexico,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,224.5,224.5,126.0,Water,Short-term water storage,5.0,Steam boiler,Other,heating water,pasteurization,A3) Heating of supply heat storage,90,80/95,100000.0,No Subsidies,25,445.43,,,,,C10 - Manufacture of food products
214,Nestle Dairy Plant Lagos de Moreno,México,"Lagos de Moreno, Jalisco",C10.5 - Manufacture of dairy products,Nestle de Mexico,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,245.0,245.0,137.0,Water,Short-term water storage,5.0,Steam boiler,Natural gas,heating water,pasteurization,A3) Heating of supply heat storage,90,80/95,130000.0,No Subsidies,,530.61,,,,,C10 - Manufacture of food products
215,Nestle Waters,Saudi Arabia,Riyadh,C11 - Manufacture of beverages,Nestle Waters,mei,mei,2012-01-01,flat plate collector,,515.0,,360.5,,short-term water storage,15.0,other,,hot water for bottle washing,cleaning,C) Other integration points (please specify),,,1.0,no subsidies,,0.0,,,,,C11 - Manufacture of beverages
216,Nestle. Toluca,México,"Av. Industrial Automotriz S/N Manzana 520 Lote 8, Parque Industrial El Coecillo, 50200 Toluca de Lerdo, Méx.",C10 - Manufacture of food products,Nestle,modulo solar,modulo solar,2009-01-01,unglazed collector,ECOSUN,3700.0,3560.0,2590.0,Water,Other,500.0,Steam boiler,Natural gas,preheat of steam production,general process heating,A1) Heating of make-up water,37,40/45,270000.0,No Subsidies,20,72.97,30,,,,C10 - Manufacture of food products
217,Neumarkter Lammsbräu,Germany,Neumarkt/Oberpfalz,C11 - Manufacture of beverages,Neumarkter Lammsbräu Gebr. Ehrenspreger e.K.,grammer solar gmbh,simon klimatechnik gmbh,2000-01-01,air collector,,72.5,,50.75,air,no solar energy storage,1.0,,,preheating the ambient air for the drying process in the malthouse,drying,B2) Heating of process medium (please specify),up to 60 °C air temperature,,32000.0,no subsidies,25,441.38,,,Rudolf Ettl,r.ettl@grammer-solar.de,C11 - Manufacture of beverages
218,Neuwirth,Austria,"Brodersdorf, Austria",C11 - Manufacture of beverages,Metbrauerei Neuwirth,aee intec,aee intec,2006-01-01,flat plate collector,,20.0,,14.0,water/glycol,short-term water storage,0.85,,,"hot water for cleaning, pasteurisation, sterilisation",pasteurization,,50-95 °C process temperatures,,,,0,,,,WG,,C11 - Manufacture of beverages
219,New York City Subway Washing Plant,United States,"New York Subway Maintenance Plant, Coney Island",H - Transporting and storage,NYPA,ritter xl solar,ritter xl solar,2010-01-01,evacuated tube collector,,164.0,,85.0,Water,Other,0.0,,,washing of subway trains,Cleaning,C) Other integration points,,,1.0,Not known,,0.01,,Ritter XL Solar,m.willige@ritter-xl-solar.com,http://ritter-xl-solar.com/anwendungen/prozesswaerme/nypa-usa/,H - Transporting and storage
220,NISSAN (2),Spain,Barcalona,nan,NISSAN,nan,nan,,nan,,,,,,,,,,nan,,,,,,,0,,,,,,nan
221,Nissan Avila,Spain,Avila,"C29 - Manufacture of motor vehicles, trailers and semi-trailers",NISSAN,nan,nan,2007-01-01,flat plate collector,GAMESA Solar 5000 ST,530.0,,370.0,,Short-term water storage,40.0,Steam boiler,Natural gas,"bodyworks pretreatment line, where are placed the pretreatment for the grease removal and the phosphatizing and electrocoating processes",Surface treatment,C) Other integration points,,,140000.0,140000,,264.15,,IEA Task 49 - derived from SO-PRO project,w.glatzl@aee.at,http://www.solar-process-heat.eu/fileadmin/redakteure/So-Pro/Installations/ESCAN_Nissan.pdf,"C29 - Manufacture of motor vehicles, trailers and semi-trailers"
222,Northam Platinum’s Booysendal Mine,South Africa,Roossenekal,B - Mining and quarrying,Northam Platinum,nan,nan,2012-01-01,flat plate collector,,192.0,,134.4,Water/glycol,Short-term water storage,30.0,Other,Other,"mining facility, laundry, shower",Cleaning,B1) Heating of process(es) / process vessel(s),60,,1.0,No information on subsidy,,0.01,,Genergy,info@genergy.co.za,http://genergy.co.za/,B - Mining and quarrying
223,Nuova Sarda Industria Casearia,Italy,San Nicolò d’Arcidano,C10.5 - Manufacture of dairy products,,cspf solar,nan,2015-01-01,fresnel collector,,995.0,995.0,470.0,steam,no solar energy storage,,steam boiler,fuel oil,nan,other process heating,A2b) Heating of supply line,,200,140000.0,260000,,140.7,35,,,,C10 - Manufacture of food products
224,Nutrición Marina,México,"Carretera Federal Libre Los Mochis - San Miguel Zapotitlán Km 6.5, frente al Ejido Flor Azul. Los Mochis, Sinaloa, México",C10.9 - Manufacture of prepared animal feeds,Nutrición Marina S.A. de C.V,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,178.2,178.2,97.2,Water,Short-term water storage,7500.0,Steam boiler,Fuel oil,food pellet plant,Cooking,A1) Heating of make-up water,,40/95,58000.0,0.5,,325.48,,,,,C10 - Manufacture of food products
225,Ocean Rubber,United Arab Emirates,Ras al Khaimah,C22 - Manufacture of rubber and plastic products,Ocean Rubber Factory,tvp solar,nan,2018-01-01,various collector,TVP,240.0,,150.0,,No solar energy storage,,,other,rubber manufacturing machinery,Other process heating,C) Other integration points,,,1.0,no information,,0.0,,AEE INTEC,w.gruber-glatzl@aee.at,www.tvpsolar.com,C22 - Manufacture of rubber and plastic products
226,OCV glass fibre,India,"Owens Corning Industries (I) Pvt. Ltd., Thimmapur, Telangana, Indien",C27 - Manufacture of electrical equipment,OCV Reinforcements Manufacturing Limited,photon solar,nan,2010-01-01,evacuated tube collector,,55.4,,38.78,,Short-term water storage,2.0,Hot water boiler,Other,hot water is required for mixing of chemicals,Other process heating,B3) Heating of process heat storage,85,,7080.0,no subsidies,,127.8,73,AEE INTEC,w.glatzl@aee.at,http://www.soproindia.in/ocv_glass_products_case_study.html,C27 - Manufacture of electrical equipment
227,Pachin Paints Co.,Egypt,Cairo,C20 - Manufacture of chemicals and chemical products,Pachin Paints Co.,nan,tecsol,2002-01-01,flat plate collector,,38.4,,26.88,,,2.0,,,heating of chemicals,other process heating,C) Other integration points (please specify),50,50,1.0,no subsidies,0,0.03,,,IEA - Task 49,ir@pachin.com,C20 - Manufacture of chemicals and chemical products
228,Panchmahal Dairy,India,Godhra,C10.5 - Manufacture of dairy products,Panchmahal Dairy,nan,nan,,flat plate collector,,472.0,,330.4,,Short-term water storage,20.0,,,preheat boiler feed,General process heating,A1) Heating of make-up water,,,1.0,not known,0,0.0,,AEE INTEC,w.glatzl@aee.at,http://www.solarwaterheater.gov.in/phpdsurl5/speakers/userfiles/file/Market%20assessment%20of%20solar%20water%20heaters.pdf,C10 - Manufacture of food products
229,Panoche County Desalination,United States,"Panoche County, California",E - Water supply; sewerage; waste managment and remediation activities,Water FX,"skyfuel, inc",atsi,2013-01-01,parabolic trough collector,SkyTrough,690.0,656.0,480.0,Water/glycol,No solar energy storage,,Hot water boiler,Natural gas,desalination,Evaporation and distillation,A2b) Heating of supply line,,,1.0,1,,0.0,,"SkyFuel, Inc.",alison.mason@skyfuel.com,www.skyfuel.com,E - Water supply; sewerage; waste managment and remediation activities
230,Papes Safor S.L.,Spain,"Calle dels Mallorquins, 7, 46711, Miramar, Valencia, 46711, Valencia",C10.3 - Processing and preserving of fruit and vegetables,Papes Safor S.L.,rackam,rackam,2013-01-01,parabolic trough collector,Rack 10 formely S10,175.0,,134.0,Thermo-oil,No solar energy storage,,Hot water boiler,Fuel oil,"pre heating, boiler",cooking,A2b) Heating of supply line,220-250,,156216.0,0,,892.66,,Rackam,joseanne.bg@rackam.com,rackam.com,C10 - Manufacture of food products
231,Parc Solaire Alain Lemaire,Canada,"36 rue LAJEUNESSE, Kingsey Falls, QC J0A, 1B0 CANADA",C17 - Manufacture of paper and paper products,Cascades Inc.,rackam,rackam,2014-01-01,parabolic trough collector,Rack 20 formely S20,1490.0,,800.0,Thermo-oil,no solar energy storage,,steam boiler,Natural gas,"pre heating, boiler",drying,A2a) Heating of return line,120-140,,650000.0,0,,436.24,,Rackam,joseanne.bg@rackam.com,rackam.com,C17 - Manufacture of paper and paper products
232,Parkings Service S.A.,Spain,Castellbisbal,S - Other services activities,Parkings Service S.A.,sonnenkraft,aiguasol,2004-01-01,flat plate collector,,510.0,,357.0,,,40.0,,,"hot water for car washing, degreasing",Cleaning,C) Other integration points,20 - 80,,268770.0,No subsidies,0,527.0,,AIGUASOL,infoaiguasol@aiguasol.coop,,S - Other services activities
233,Parle Products Ltd. Neemrana,India,"Parle Biscuits Pvt Ltd, Neemrana, Rajasthan, Indien",C10 - Manufacture of food products,Parle Products,photon solar,nan,,evacuated tube collector,,97.0,,67.9,,Short-term water storage,7.0,Hot water boiler,Other,the syrup tank mixer requires hot water in temperature ranges of 70°c to 75°c which is supplied by the swh system during most of the days in a year,Other process heating,B3) Heating of process heat storage,70-75,,1.0,30% on investment costs,,0.01,70,AEE INTEC,w.glatzl@aee.at,http://www.soproindia.in/parle-proj01.html,C10 - Manufacture of food products
234,Peitler Vineyard,Austria,Leutschach,C11 - Manufacture of beverages,Peitler Vineyard,solid gmbh,solid gmbh,2003-01-01,flat plate collector,,100.8,,70.56,,,4.0,,,"wine cooling, bottle washing",cleaning,C) Other integration points (please specify),"15 - 18 for White Wine, 22 - 25 for Red Wine, 60 for Bottle Washing",20 - 90,1.0,no subsidies,0,0.01,,,Sabine Putz,s.putz@solid.at,C11 - Manufacture of beverages
235,Penzkofer Autolackiererei,Germany,"Prackenbach, D-94267",C20 - Manufacture of chemicals and chemical products,"Manfred Penzkofer, Autolackiererei GmbH",grammer solar gmbh,nan,2013-01-01,air collector,,20.1,,14.07,air,no solar energy storage,1.0,,,painting process,painting,B2) Heating of process medium (please specify),,,6000.0,6000,25,298.51,,,Rudolf Ettl,r.ettl@grammer-solar.de,C20 - Manufacture of chemicals and chemical products
236,Peñoles Totolapan I,México,"SAN MIGUEL TOTOLAPAN, GUERRERO, MEXICO",B - Mining and quarrying,Industrias Peñoles SAB de CV,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,60.0,54.0,42.0,Water,Short-term water storage,3.0,Steam boiler,Other,preheat of steam production,general process heating,A1) Heating of make-up water,60-70,50-75,15100.0,No Subsidies,25,251.67,70,,,,B - Mining and quarrying
237,Peñoles Totolapan II,México,"SAN MIGUEL TOTOLAPAN, GUERRERO, MEXICO",B - Mining and quarrying,Industrias Peñoles SAB de CV,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,160.0,144.0,112.0,Water,Short-term water storage,8.0,Hot water boiler,Other,preheat of hot water,general process heating,A1) Heating of make-up water,65-75,60-80,39500.0,No Subsidies,25,246.88,55,,,,B - Mining and quarrying
238,Peñoles Totolapan III,México,"SAN MIGUEL TOTOLAPAN, GUERRERO, MEXICO",B - Mining and quarrying,Industrias Peñoles SAB de CV,modulo solar,modulo solar,2017-01-01,flat plate collector,MS 2.5 BLUE,45.0,40.0,31.5,Water,Short-term water storage,3.0,Hot water boiler,Other,preheat of hot water,general process heating,A1) Heating of make-up water,65-85,60-90,11500.0,No Subsidies,25,255.56,65,,,,B - Mining and quarrying
239,Perfetti van Melle,Netherlands,Breda,C10.5 - Manufacture of dairy products,Perfetti van Melle,zensolar,gdw asselbergs installation,1998-01-01,flat plate collector,,2400.0,1680.0,,,short-term water storage,95.0,,,preheating of hot water and process heat,general process heating,B2) Heating of process medium (please specify),,,1.0,no subsidies,0,0.0,,,,,C10 - Manufacture of food products
240,PETA Bohemia Pekárna Sobeslav,Czech Republic,Nerudova 278/II,C10 - Manufacture of food products,Bakery,jh solar,jh solar,2003-01-01,flat plate collector,,20.0,,14.0,,,0.6,,,hot water for the bakery,other process heating,C) Other integration points (please specify),,1990-10-01 00:00:00,1.0,no subsidies,0,0.05,,,Peta Sobeslav,peta.bohemia@seznam.cz,C10 - Manufacture of food products
241,Pincasa,Spain,Valencia,"C25 - Manufacture of fabricated metal products, except machinery and equipment",Pincasa,srb,nan,,various collector,Evacuated flate plate collector,180.0,180.0,26.0,Thermo-oil,,,Steam boiler,Natural gas,heat oven,Drying,C) Other integration points,180 °C,170/190 °C,1.0,Not known,,0.01,,AEE INTEC,w.glatzl@aee.at,,"C25 - Manufacture of fabricated metal products, except machinery and equipment"
242,Plektemboriki Kritis S.A.,Greece,Heraklion,C10 - Manufacture of food products,Plektemboriki Kritis S.A.,local manafacturer,local technician,1999-01-01,flat plate collector,,50.0,,35.0,,,2.0,,,cleaning olives,cleaning,C) Other integration points (please specify),40 - 90,,1.0,no subsidies,0,0.02,,,IEA - Task 49,w.glatzl@aee.at,C10 - Manufacture of food products
243,Poultry Processing Malaysia PPNJ,Malaysia,PPNJ Poultry & Meat Sdn. Bhd. Simpang Renggam Johor Malaysia,C10.1 - Processing and preserving of meat and production of meat products,"PPNJ, POULTRY AND MEAT SDN. BHD.",sirim industrial research,sirim industrial research,2017-01-01,evacuated tube collector,HI-MIN HUJ3,181.35,118.95,163.2,water,short-term water storage,8.0,steam boiler,other,scalding process,blanching,B1) Heating of process(es) / process vessel(s),70-75,80-90,90400.0,0.8,15,498.48,80,,,,C10 - Manufacture of food products
244,Prestage Foods,United States,"St Pauls, North Carolina",C10 - Manufacture of food products,FLS Energy (contractor for Prestage Foods),fls energy (collectors from aet alternate energy technologies),fls energy,2012-01-01,flat plate collector,,7804.0,,5462.8,Water/glycol,Short-term water storage,946.0,Steam boiler,Other,hot water for sanitation in poultry industry,Cleaning,B2) Heating of process medium,min 60 °C,71 - 82,7500000.0,"30% in federal tax credits, another 35% in state tax credits from North Carolina",0,961.05,,FLS Energy,ralexander@flsenergy.com,http://www.prestagefarms.com/prestage-foods/solar-shines-at-prestage-foods-turkey-processing-this-thanksgiving-season/,C10 - Manufacture of food products
245,"Procarne Slaughterhouse ""A""",México,"Industria, La Fe, 27350 Torreón, Coah.",C10.1 - Processing and preserving of meat and production of meat products,Pro-Carne de la laguna SA de CV,modulo solar,modulo solar,2013-01-01,flat plate collector,MS 2.5 BLUE,110.0,100.0,77.0,Water,Short-term water storage,6.0,Steam boiler,Fuel oil,cleaning of slaghterhouse,cleaning,A1) Heating of make-up water,65-75,60-80,31000.0,50,,281.82,70,,,,C10 - Manufacture of food products
246,"Procarne Slaughterhouse ""B""",México,"Industria, La Fe, 27350 Torreón, Coah.",C10.1 - Processing and preserving of meat and production of meat products,Pro-Carne de la laguna SA de CV,modulo solar,modulo solar,2006-01-01,evacuated tube collector,SPO-1500,96.0,75.0,67.0,Water,Short-term water storage,5.0,Hot water boiler,Fuel oil,nan,cleaning,A1) Heating of make-up water,65-80,55-90,43000.0,50,,447.92,65,,,,C10 - Manufacture of food products
247,Procesadora de Alimentos Integrales- PAISA,México,"San Juan de Los Lagos, Jalisco",C10.9 - Manufacture of prepared animal feeds,Procesadora de alimentos integrales SA de CV,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,264.0,264.0,148.0,Water,Short-term water storage,3.0,Steam boiler,Other,heating of make up water,Cooking,A1) Heating of make-up water,95,80/95,115000.0,No Subsidies,25,435.61,40,,,,C10 - Manufacture of food products
248,PSG Hospital Laundry,India,Coimbatore,Q - Human health and social work activities,PSG Hospitals,greenera energy,greenera energy,2015-01-01,parabolic trough collector,,50.0,50.0,35.0,,,,,,drying and sterilization in laundry,Drying,B1) Heating of process(es) / process vessel(s),150,150,20592.0,12408,,411.84,,CSH India,contact@cshindia.in,http://www.cshindia.in,Q - Human health and social work activities
249,Purple Creations,India,"Lal Bahadur Shastri Road, Vikhroli West, Mumbai, Maharashtra, Indien",C13 - Manufacture of textiles,Purple Creations P Ltd,thermax india,thermax india,2013-01-01,various collector,Dish concentrators,480.0,,336.0,,No solar energy storage,,Steam boiler,Other,iron the children’s garments  steam pressing and washing,Other process heating,A2b) Heating of supply line,,150 °C at 6 bar,63240.16,"22042,21",,131.75,,CSH India,contact@cshindia.in,http://solarthermalworld.org/comment/16516#comment-16516,C13 - Manufacture of textiles
250,"Quesera Lacteos Ticoy, S.A. de C.V",México,"Sn. Francisco de los Romos, Aguascalientes, Mexico",C10.5 - Manufacture of dairy products,,inventive power sapi de cv,inventive power sapi de cv,2015-01-01,parabolic trough collector,Power Trough 110,99.0,99.0,42.0,Water,Short-term water storage,6.0,Steam boiler,Other,ice cream pasteurization,pasteurization,A2b) Heating of supply line,20/95,,28046.0,No Subsidies,,283.29,,,,,C10 - Manufacture of food products
251,Quesos La Doñita,México,"Neutla, Guanajuato, Mexico",C10.5 - Manufacture of dairy products,Juana Zarate Zarate,inventive power sapi de cv,inventive power sapi de cv,2014-01-01,parabolic trough collector,Power Trough 110,40.0,39.6,22.2,Water,Short-term water storage,1500.0,Hot water boiler,Natural gas,pasteurization,Pasteurization,B1) Heating of process(es) / process vessel(s),,60/95,18000.0,0.5,>20,450.0,,,,,C10 - Manufacture of food products
252,Quesos la Ordeña,México,"Tonala, Chiapas",C10 - Manufacture of food products,,inventive power sapi de cv,inventive power sapi de cv,2017-01-01,parabolic trough collector,Power Trough 110,165.0,66.0,35.34,Water,Short-term water storage,3.0,Hot water boiler,Other,boiler preheating,other process heating,A1) Heating of make-up water,20/80,,22706.0,No Subsidies,,137.61,,,,,C10 - Manufacture of food products
